公司的全称,招聘岗位名称,工资,所在城市,工作年限,学历状况,公司标签,详情页url地址,岗位描述
云天励飞,Python开发工程师 ,30k-40k,深圳,经验3-5年,['本科及以上 /'],"['智能硬件,人工智能服务,物联网', '上市公司', '真格基金(天使轮)']",https://www.lagou.com/wn/jobs/5143659.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责：\n', '\n', '1、参与后台服务的设计、开发、优化等研发工作\n', '\n', '2、与PM、算法及前端开发人员协同工作，保证产品的质量和开发进度\n', '\n', '3、对产品进行持续优化\n', '\n', '任职要求;\n', '\n', '1、精通Python语言，有Web后台服务开发的实际项目经验\n', '\n', '2、熟练掌握至少一门Python Web开发框架（Tornado、Django、Flask等\n', '\n', '3、熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)\n', '\n', '4、有独立分析和解决问题的能力，有良好的团队合作精神\n', '\n', '5、985、211学校优先考虑\n']"
弘连网络,python开发工程师 ,10k-20k,上海,经验1-3年,['本科及以上 /'],"['数据服务｜咨询', 'A轮', '150-500人']",https://www.lagou.com/wn/jobs/7939699.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责：\n', ' 1.本职位主要是参与电子数据取证/分析产品模块设计和研发；\n', ' 2.主语言是python，但会涉及go，要求代码能同时运行Windows与Linux平台；\n', ' 3.根据项目计划按时完成软件开发和单元测试工作以及Bug修复；\n', ' 4.不断学习并运用新的知识提升产品竞争力。\n', '任职要求：\n', ' 1.本科及以上学历，思维清晰，沟通良好，具备良好的分析、理解、解决问题的能力；\n', ' 2.理解数组，链表，树的等基本数据结构。了解设计模式；\n', ' 3.至少有python 1年以上实际项目经验；\n', ' 4.了解Linux常用命令，了解TCP/IP协议簇；\n', ' 5.熟悉git基本操作。\n', '\n', '加分项：\n', ' 1.维护技术博客/公众号，或者有开源项目者优先；\n', ' 2.有C++/go开发基础者；\n', ' 3.有Linux下开发经验者；\n', ' 4.有Windows维护经验者（了解注册表，Powershell之类）。']"
金蝶账无忧,Python开发工程师 ,13k-20k,深圳,经验3-5年,['本科及以上 /'],"['企业服务', '不需要融资', '50-150人']",https://www.lagou.com/wn/jobs/7135315.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责:', '1.\xa0设计并开发票税相关业务系统的网站接口抓取、逆向分析或自动化登录服务维护；', '2.负责机器人弹性伸缩开关机与登录服务运行监控与预警;', '3、针对存在规范、设计、性能和安全问题的代码进行重构和优化', '任职资格:', '1、\xa0三年以上基于Python的后端开发工作经验，计算机相关专业本科以上学历', '2、熟悉Flask或Tornado开发框架，有爬虫、验证码识别或大数据分析统计等相关工作经验优先考虑', '3、\xa0掌握html、js、css等前端开发技术', '4、熟悉Oracle,MySQL至少一种数据库的设计和开发', '5、良好的沟通能力及团队合作精神，能承担较强工作压力']"
慧博云通,python开发工程师 ,16k-17k,广州,经验3-5年,['大专及以上 /'],"['IT技术服务｜咨询', '未融资', '2000人以上']",https://www.lagou.com/wn/jobs/10119645.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['AIA项目 \n', ' \n', '需要3个python岗位 \n', ' \n', '一个需要会前端，属于前端+Python \n', ' \n', '工作1年以上，英语口语好，需要直接对接外国人； \n', ' \n', ' \n', '一个需要愿意rpa开发，英语口语好 \n', ' \n', '工作5年以上 \n', ' \n', ' \n', '一个需要excel VBA \n', ' \n', '工作3年以上 \n', ' \n', ' \n', '薪资待遇： \n', ' \n', '入职直接缴纳六险一金；每年度免费体检；国家法定日均有； \n', ' \n', '弹性工作7小时；午休2小时；固定双休；具体详谈~']"
多益网络,python开发工程师 ,9k-18k,广州,经验不限,['学历不限 /'],"['游戏', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/7939430.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【广州】 \n', '方向一： \n', '1、参与分布式爬虫和数据采集系统的架构设计和开发； \n', '2、负责网络数据抓取规划、定期爬取指定网站的数据； \n', '3、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量； \n', '4、参与数据层建设，专注于垂直领域数据爬取，进行多平台信息的抓取和分析； \n', '5、实现数据提取、清洗、结构化、入库、统计分析等需求； \n', '6、研究优化算法，提升爬虫系统的稳定性、可扩展性。 \n', '方向二： \n', '负责游戏自动化测试工具及平台的后台开发工作，dev-ops+测试自动化。 \n', '【武汉】 \n', '1、参与Python分布式爬虫和数据采集系统的架构设计、开发和维护。 \n', '2、参与Python数据平台、Web服务、机器学习等相关开发工作。 \n', '岗位要求： \n', '【广州】 \n', '方向一： \n', '1、计算机相关专业，有爬虫和反爬虫开发经验优先，有App爬取经验优先； \n', '2、熟悉linux平台开发，精通Python，熟悉常用的爬虫框架和工具； \n', '3、熟悉MongoDB、Redis、Mysql，掌握MQ，了解HBase、KAFKA等； \n', '4、熟悉HTTP协议，熟悉正则表达式、XPath、CSS选择器等，了解常用验证码识别技术； \n', '5、能独立解决实际开发过程碰到的各类问题。 \n', '方向二： \n', '1、计算机相关专业毕业； \n', '2、熟练掌握Python编程，有一定的web后台开发经验者尤佳； \n', '3、热爱游戏，对参与游戏自动化测试开发领域有热忱。 \n', '【武汉】 \n', '1、计算机相关专业。 \n', '2、能熟练使用Python语言开发；有阅读和理解Python代码的能力。 \n', '3、能够独立分析大型网站页面结构，并完成所需数据的爬取、分析、筛选、储存功能。 \n', '4、熟悉Mysql等至少一种关系型数据库。熟悉Redis、MongoDB等数据库者优先。 \n', '5、熟悉Falsk/Tornado/Django等Web开发框架者优先。 \n', '6、熟悉数据挖掘、自然语言处理、信息检索、机器学习等技术者优先。 \n', '7、有良好的学习能力，能够根据需求学习新技术并应用于开发。 \n', '提示：公司实行全面禁烟制度，吸烟者需戒烟后才能入职']"
柏美迪康上海,python开发工程师 ,25k-35k,上海,经验3-5年,['本科及以上 /'],"['能源｜矿产｜环保', '上市公司', '150-500人']",https://www.lagou.com/wn/jobs/10070116.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['Python开发工程师 \n', '岗位职责： \n', '1、设计和开发扩展性良好的Python应用，进行算法模型部署和产品开发； \n', '2、调试和维护部门开发的Python应用，处理用户的反馈问题； \n', '3、相关技术说明和过程文档的撰写和归纳整理。 \n', ' \n', '岗位要求： \n', '1、熟练掌握Python编程语言，3年及以上解决实际问题的代码编写经验，熟悉编码规范，具备良好的文档编写能力； \n', '2、熟练掌握Flask、Django等Web框架，具有实际的项目经验； \n', '3、熟悉SQL语法，熟练掌握PostgreSQL/MySQL/Oracle/MongoDb等任一数据库； \n', '4、熟悉云服务开发，熟悉RabbitMQ/Kafka/Redis等常用组件； \n', '5、熟悉Hadoop/Hbase/Flink的使用，有项目经验的优先； \n', '6、熟悉Vue等框架的优先； \n', '7、有Devops开发经验的优先。 \n', ' \n', ' 【公司福利】 \n', '五险一金、绩效工资、年终奖金、员工激励计划、午餐补贴、加班晚餐补贴、加班打车费报销、每月团建读书会、国内旅游、年终海外游、生日礼金、定期体检、公司免费茶点、员工定制西装、年会超级大奖 \n']"
westwell西井科技,Python工程师 ,15k-30k,上海,经验3-5年,['本科及以上 /'],"['人工智能服务', 'D轮及以上', '越秀产业基金、中交资本、和高资本、广西广投、深投控(D轮及以上)，合力投资、浪潮资本、雄韬股份、安信乾宏-安信证券、和高资本(和凯创投)(C轮)，十维资本、上海联硒企业管理中心、深圳景熙瑞盛一号投资(B轮)，复星同浩(A轮)']",https://www.lagou.com/wn/jobs/1256681.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1. 设计、创造执行基于Python语言的应用； \n', '2. 根据项目要求编译高质量代码以实现功能； \n', '3. 确保项目代码编写进度； \n', '4. 协助上级完成其他安排的工作内容。 \n', ' \n', '任职要求： \n', '1. 计算机、电子电气、自动化、测控技术、车辆工程等相关专业，本科及以上学历，3年及以上工作经验； \n', '2. 熟悉Linux系统操作，熟悉Shell/Python的脚本编写，熟练使用git/docker等工具 \n', '3. 熟悉ADAS／自动驾驶的系统架构与功能，熟悉常用传感器工作原理和功能，熟悉相关测试流程和测试工具； \n', '4. 有良好的文档能力，善于进行问题的提炼和表达，具备良好的沟通与团队协作能力 \n', '5. 有毅力，能对一个bug持之以恒地追踪、复测并最终解决。 \n', '6. 基本的英语读写能力。 \n']"
谷露软件,python开发工程师 ,15k-30k,上海,经验1-3年,['本科及以上 /'],"['工具类产品', 'A轮', '双湖资本、真成投资(A轮)，真格基金，云天使基金(A轮,天使轮)']",https://www.lagou.com/wn/jobs/10057246.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['我们是一群什么样的人？ \n', '我们是一群有灵魂的代码写手，希望通过代码改变产品、改变世界； \n', '我们渴望取得商业价值的成功，通过代码提供高质量的产品给到客户； \n', '我们钦佩拥有深厚算法和数据结构工地的工程师，然而世界的复杂性却远比这样的知识更加复杂，我们希望能够在世界的复杂性中找到极限简单的真谛； \n', '这是一群致力于改变，敢于迎接挑战的人，期待你和我们一起改变世界。 \n', ' \n', '职位诱惑： \n', '真正的工程师文化，优质团队 \n', '我们想找玩转源码的同类人，而非只会用框架的大多数~ \n', ' \n', '工作职责： \n', '配合团队其他成员进行模块开发及整合 \n', '独立完成后台服务功能模块的设计与开发 \n', '开发和维护自动化运维工具 \n', '开发和维护谷露招聘管理系统 \n', ' \n', '任职要求： \n', '具备扎实的语言、数据结构、数据库、网络等基础知识； \n', '逻辑条理性强，具备良好的沟通能力 ； \n', '熟悉web开发优先 ； \n', 'Full Stack优先 ； \n', '有项目经验优先 ； \n', '热爱技术，追求**者优先。']"
多益网络,python开发工程师 ,9k-18k,广州,经验不限,['学历不限 /'],"['游戏', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/7939430.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【广州】 \n', '方向一： \n', '1、参与分布式爬虫和数据采集系统的架构设计和开发； \n', '2、负责网络数据抓取规划、定期爬取指定网站的数据； \n', '3、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量； \n', '4、参与数据层建设，专注于垂直领域数据爬取，进行多平台信息的抓取和分析； \n', '5、实现数据提取、清洗、结构化、入库、统计分析等需求； \n', '6、研究优化算法，提升爬虫系统的稳定性、可扩展性。 \n', '方向二： \n', '负责游戏自动化测试工具及平台的后台开发工作，dev-ops+测试自动化。 \n', '【武汉】 \n', '1、参与Python分布式爬虫和数据采集系统的架构设计、开发和维护。 \n', '2、参与Python数据平台、Web服务、机器学习等相关开发工作。 \n', '岗位要求： \n', '【广州】 \n', '方向一： \n', '1、计算机相关专业，有爬虫和反爬虫开发经验优先，有App爬取经验优先； \n', '2、熟悉linux平台开发，精通Python，熟悉常用的爬虫框架和工具； \n', '3、熟悉MongoDB、Redis、Mysql，掌握MQ，了解HBase、KAFKA等； \n', '4、熟悉HTTP协议，熟悉正则表达式、XPath、CSS选择器等，了解常用验证码识别技术； \n', '5、能独立解决实际开发过程碰到的各类问题。 \n', '方向二： \n', '1、计算机相关专业毕业； \n', '2、熟练掌握Python编程，有一定的web后台开发经验者尤佳； \n', '3、热爱游戏，对参与游戏自动化测试开发领域有热忱。 \n', '【武汉】 \n', '1、计算机相关专业。 \n', '2、能熟练使用Python语言开发；有阅读和理解Python代码的能力。 \n', '3、能够独立分析大型网站页面结构，并完成所需数据的爬取、分析、筛选、储存功能。 \n', '4、熟悉Mysql等至少一种关系型数据库。熟悉Redis、MongoDB等数据库者优先。 \n', '5、熟悉Falsk/Tornado/Django等Web开发框架者优先。 \n', '6、熟悉数据挖掘、自然语言处理、信息检索、机器学习等技术者优先。 \n', '7、有良好的学习能力，能够根据需求学习新技术并应用于开发。 \n', '提示：公司实行全面禁烟制度，吸烟者需戒烟后才能入职']"
飞络信息,python开发工程师 ,12k-17k,上海,经验3-5年,['大专及以上 /'],"['智能硬件,数据服务｜咨询', '未融资', '50-150人']",https://www.lagou.com/wn/jobs/10151242.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责 \n', '1.负责Python后端服务开发，解决业务逻辑和数据产品相关业务 \n', '2.负责搭建和维护后台服务 \n', '3.负责服务API开发 \n', '4.日志系统SPL编写，开发大数据任务 \n', '任职要求 \n', '1、3年以上Python后端开发经验，熟悉MVC架构，精通Flask/Django/tornado等框架； \n', '2、熟悉网络编程，熟悉tcp，http等通讯协议，熟练使用多进程和多线程； \n', '3、熟悉mysql、redis等常用储存方案及基本原理，能够独立地合理设计数据库结构； \n', '4、精通Linux系统结构，并熟练使用各种linux操作系统命令，了解k8s、docker； \n', '5、有大数据或机器学习经验者优先 \n', '6 有ELK、splunk查询语言使用经验优先 \n', '7、有一定算法能力与思维']"
博奥特科技,python开发工程师 ,14k-20k,深圳,经验3-5年,['本科及以上 /'],"['IT技术服务｜咨询,软件服务｜咨询', '未融资', '500-2000人']",https://www.lagou.com/wn/jobs/9982223.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['1. 计算机相关专业本科以上学历，3年以上开发经验； \n', '2. 熟练掌握Python/Go、Java、SQL编程语言至少一种以上，熟悉相关主流开源框架及中间件； \n', '3. 熟悉敏捷开发流程，有模块设计/重构经验，有较强的问题分析、解决能力； \n', '4. 掌握持续集成、持续交付、DevOps相关知识及相关工具的使用者或具有互联网App、大型业务系统开发经验者尤佳； \n', '5. 具有良好的团队合作能力、沟通交流能力，对技术有强烈的爱好，富有工作激情、创造力；']"
音悦荚,Python开发工程师 ,15k-30k,北京,经验1-3年,['本科及以上 /'],"['在线教育', 'A轮', '基因资本领投(A轮)']",https://www.lagou.com/wn/jobs/2701656.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【工作职责】\n', '1、负责Python团队的任务分配和管理；\n', '2、负责服务端架构设计及主要功能模块核心代码编写。\n', '【任职要求】\n', '1、熟悉python语言以及Tornado(优先)、Django等 Web开发框架，了解机器学习，人工智能相关知识；熟悉numpy、Scikit等框架者优先；\n', '2、熟悉微服务架构并有相应开发经验，有服务器端运维经验，熟悉Nginx、docker；\n', '3、熟练使用 MongoDB、Redis、MySQL等数据库，并有相应的项目开发经验；熟悉JavaScript和HTML；\n', '4、2年以上互联网工作经验，有大数据分析系统开发经验者优先；\n', '5、有较强的自我驱动能力，有独立工作和解决问题的能力，对自己有较高的技术要求。']"
华为,python开发工程师 ,18k-36k,北京,经验不限,['本科及以上 /'],"['IT技术服务｜咨询,智能硬件,网络通信', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/10160252.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【工作职责】 \n', '1. 负责大数据平台、智能中心、网络安全自动化攻防平台系统引擎的设计与开发； \n', '2. 风险评估与威胁预警系统引擎维护与性能调优；插件的设计与开发； \n', '3. 掌握客户实际业务需求，在理解产品业务的基础上，主动提升产品用户体验，技术驱动业务的发展，在交互方式以及页面性能方面不断创新； \n', '4. 涉猎编码、方案改进优化、技术攻关、组织沟通协调多个领域，涉及知识范围广，具有一定研发精神，拥抱变化，能解决各种未知问题，未来发展方向可以多元化转身。 \n', ' \n', '【岗位要求】 \n', '1. 熟练掌握Python编程，具备Python工程化经验； \n', '2、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式； \n', '3. 有Django、Flask、Tornado框架的工程化经验优化； \n', '5. 有网络安全经验者优先；']"
达观数据,python开发工程师 ,15k-20k,上海,经验1-3年,['本科及以上 /'],"['人工智能服务,数据服务｜咨询', 'C轮', '中信、招商、广发、中信建投、深创投、弘卓资本、襄禾资本、尚珹资本、众麟资本、联想之星和阳光保险集团(C轮)，完成B+轮融资，由深创投领投、软银赛富、晨山资本、众麟资本等跟投(B轮)，软银赛富、方广资本、真格基金、众麟资本(A轮)，获得真格基金领投 1000万天使投资(天使轮)']",https://www.lagou.com/wn/jobs/4429677.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责 \n', '1、负责公司企业级搜索推荐产品的实施部署和客户需求开发相关工作； \n', '2、负责在客户现场进行需求沟通、问题排查、产品定制化开发； \n', '3、保持和整个项目团队的工作进展同步，保证项目的快速高质量交付； \n', '4、梳理总结客户需求及产品问题，反馈产品版本迭代升级； \n', ' \n', '岗位要求 \n', '1、代码基础扎实，两年以上经验python后端开发经验； \n', '2、熟悉数据库的基本知识，熟练使用SQL语句进行数据的增删改查操作； \n', '3、做事踏实认真，吃苦耐劳，具有良好的沟通表达能力； \n', '4、能出差至全国各地的客户现场提供技术支持； \n', '5、具有linux、docker、k8s、redis、kafka等使用经验者优先；']"
MINIEYE,Python工程师 ,15k-30k,深圳,经验1-3年,['本科及以上 /'],"['人工智能服务', 'D轮及以上', '中金甲子、东风资管(D轮及以上)，嘉实投资、东方富海、元璟资本、华勤通讯、杉杉创投，老股东四维图新、康成亨继续增持(C轮)，四维图新领投，浙商创投、杉杉创投等跟投(B轮)，普华资本(A轮)，阿里巴巴合伙人吴泳铭(天使轮)']",https://www.lagou.com/wn/jobs/6884621.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['1.基于产品需求和用户使用场景，负责测试方案落地实现，参与系统搭建、调试等工作；', '\n', '2.搭建算法相关自动化测试平台、参与数据处理等工具的开发和维护。', '\n\n', '职位要求：', '\n', '1.熟悉Linux开发环境，了解C/C++开发语言；', '\n', '2.精通Python、Ruby、Node.js等至少要1种动态语言；', '\n', '3.使用过MySQL、MongoDB、SQLite等数据库；', '\n', '4.较强的逻辑思维能力、分析问题的能力，善于并表达自己的想法；', '\n', '5.强烈的责任心，有良好的沟通和团队意识；', '\n', '具有以下经验优先：', '\n', '\xa0\xa0 1、web前端开发，了解一种以上开源web框架譬如flask、koa的架构；', '\n', '\xa0 \xa02、持续集成、持续测试、持续部署、性能测试、自动化测试等工具的使用；', '\n', '\xa0 \xa03、在校期间参加过ACM程序设计, 电子设计，数学建模等学科竞赛；', '\n', '\xa0\xa0 4、linux嵌入式设备测试。', '\n', '欢迎测试工程师转测试研发或python工程师岗位']"
白杨时代,python开发工程师 ,15k-30k,北京,经验不限,['本科及以上 /'],"['人工智能,软件开发', '不需要融资', '15-50人']",https://www.lagou.com/wn/jobs/6592742.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['职位描述\n', '\n', '1、 参与AI辅助决策相关的系统研发，针对toB大客户的需求编写系统软件\n', '\n', '职位要求\n', '1、计算机、数学、物理、统计等相关专业大学本科及以上学历\n', '2、熟练掌握python/C++等编程语言，熟悉常用数据结构和基本算法，较强的软件设计和代码实现能力\n', '3、有1-2个成功的软件编写项目经验者优先\n', '4、良好的沟通能力，对客户项目有责任心，富有团队合作精神\n']"
中软国际科技服务有限公司,python开发工程师 ,11k-22k,西安,经验1-3年,['本科及以上 /'],"['IT技术服务｜咨询', '上市公司', '2000人以上']",https://www.lagou.com/wn/jobs/10532863.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['Python后台开发工程师 \n', '工作职责： \n', '负责公司产品后台的设计与开发； \n', '平台整体的性能改进； \n', '编写设计及开发等技术文挡； \n', '对新技术敏感，乐于研究**技术并应用于公司产品； \n', '与团队成员充分、有效沟通协作。 \n', ' \n', '技能要求： \n', '精通Python，2年以上Python后台开发经验，有良好的编码习惯； \n', '熟悉HTTP协议，了解RESTful； \n', '熟悉Django/Tornado等web开发框架； \n', '熟悉大型分布式系统设计与开发，并具备MQ、NoSQL实战经验； \n', '熟悉Unix/Linux操作系统下的开发，部署，维护等工作； \n', '具备良好的分析解决问题能力和团队合作能力； \n', '具有良好的学习能力，对互联网的新技术有很强的求知欲望；']"
恩加科技,python开发工程师 ,20k-30k,深圳,经验1-3年,['本科及以上 /'],"['电商平台,消费生活,区块链', '未融资', '少于15人']",https://www.lagou.com/wn/jobs/10511769.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['职责描述： \n', ' \n', '1. 参与后端服务的设计、开发、优化等研发工作 \n', '2. 与PM、前端开发人员协同合作，保证平台的质量和开发进度 \n', '3. 对产品进行持续优化 \n', ' \n', '任职要求： \n', ' \n', '1. 精通Python语言，有Web后端开发的实际项目经验 \n', '2. 熟练掌握至少一门Python Web开发框架（Tornado, Django、Flask 等） \n', '3. 熟练至少一种数据库（MySQL/PostgreSQL/Redis/Redis/MongoDB 等）语言 \n', '4.有独立分析和解决问题的能力，有良好的团队合作精神 \n', '5. 对Web 3.0有一定了解的优先']"
万博时代,python开发工程师 ,15k-25k,深圳,经验3-5年,['大专及以上 /'],"['电商平台,营销服务｜咨询,制造业', '未融资', '150-500人']",https://www.lagou.com/wn/jobs/10445943.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位要求： \n', '1.具备良好的分析解决问题的能力，团队沟通能力和学习能力； \n', '2.计算机相关专业大专及以上学历； \n', '3.3年以上后台开发经验； \n', '4.精通Python Web端，熟悉Django等Web开发框架； \n', '5.熟悉分布式系统设计与开发，并具备MQ，NoSQL经验； \n', '6.熟悉Unix/Linux系统的下的开发，部署，运维工作；']"
深圳市慧择软件集团有限公司,python开发工程师 ,25k-50k,深圳,经验3-5年,['本科及以上 /'],"['IT技术服务｜咨询', '不需要融资', '500-2000人']",https://www.lagou.com/wn/jobs/10515448.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责： \n', '1、 参与公司现有系统平台的维护和迭代研发； \n', '2、 参与公司新项目的架构设计和迭代研发。 \n', ' \n', '任职资格： \n', '1、 本科及以上学历，计算机相关专业； \n', '2、 3 - 5年相关经验，对技术有热情； \n', '3、基本掌握 Python 的最佳实践方法，有 MySQL/PostgreSQL/MongoDB, Redis 和消息队列等常用的技术栈工具的使用经验； \n', '5、具备大型网站服务器/数据库/部署/架构能力，对消息队列、任务调度、负载均衡、并发控制有较好理解，有微服务组合经验； \n', '6、 熟悉 Linux Shell 常用命令，熟悉Git，熟悉 Https 协议，RESTful 规范，有良好的编码习惯； \n', '7、要求思维活跃，有极客精神，执行力强，熟悉异步编程、事件编程，具有分析系统瓶颈，对系统进行性能调优的能力和经验； \n', '8、 具备良好的沟通、理解、表达能力，主动推动研发力量完成产品研发。 \n', ' \n', '加分项： \n', '1、 有使用 Docker、Kubernetes 经验； \n', '2、 有写 Blog 的习惯，活跃于技术社区，参与开源项目等； \n', '3、 有审批流/CRM/rbac项目经验']"
安恒信息,python开发工程师 ,15k-25k,杭州,经验3-5年,['本科及以上 /'],"['信息安全,IT技术服务｜咨询', '上市公司', '2000人以上']",https://www.lagou.com/wn/jobs/10498457.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['职位职责： \n', '1、从事公司车联网安全检测产品开发； \n', '2、 实现汽联网检测工具的检测功能。 \n', ' \n', '任职要求： \n', '1. ***本科以上学历，两年以上相关开发经验； \n', '2. 熟练使用python； \n', '3. 熟练使用linux和linux shell； \n', '4. 对网络攻防或物联网攻防技术有一定了解的优先； \n', '5. 良好的文档编写与沟通能力； \n', '6. 学习能力，工作态度，责任心。']"
开科唯识,python开发工程师 ,14k-18k,上海,经验1-3年,['本科及以上 /'],"['软件服务｜咨询', 'C轮', '500-2000人']",https://www.lagou.com/wn/jobs/10486276.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责 \n', '1、根据使用需求完成相关领域的数据获取，处理和看板定制 \n', '2、对基于Flask和React的应用基础框架进行深层次定制开发 \n', '3、负责应用的日常构建、发布和运维 \n', '任职要求: \n', '1、大专及以上学历，学信网可查，有金融行业项目经验。 \n', '2、熟悉基础的前端框架React/Vue,了解EChart库使用 \n', '3、熟练掌握Python语言的开发和测试，Flask框架，Pandas库 \n', '4、熟练掌握MySQL数据库，ETL工具使用 \n', '5、了解DevOps工具链和流水线设计，掌握软件工程过程管理']"
外企德科人力资源服务,python开发工程师 ,14k-28k,杭州,经验不限,['本科及以上 /'],"['企业服务', '未融资', '2000人以上']",https://www.lagou.com/wn/jobs/10541780.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['1、熟悉python语言，熟练掌握数据结构和常用算法设计,具备良好的编码规范； \n', '2、熟悉多线程，具备性能调优和解决疑难杂症定位经验； \n', '3、熟悉终端程序开发和调试，能分析dump文件，并定位、修复存在的BUG； \n', '4、掌握TCP/IP协议的抓包与分析方法，熟悉主流网络协议，能够熟练进行协议数据包分析； \n', '5、熟悉操作系统(windows/Linux)内核、有从事网络、文件等内核驱动开发经验者优先。 \n']"
达观数据,python开发工程师 ,15k-20k,上海,经验1-3年,['本科及以上 /'],"['人工智能服务,数据服务｜咨询', 'C轮', '中信、招商、广发、中信建投、深创投、弘卓资本、襄禾资本、尚珹资本、众麟资本、联想之星和阳光保险集团(C轮)，完成B+轮融资，由深创投领投、软银赛富、晨山资本、众麟资本等跟投(B轮)，软银赛富、方广资本、真格基金、众麟资本(A轮)，获得真格基金领投 1000万天使投资(天使轮)']",https://www.lagou.com/wn/jobs/4429677.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责 \n', '1、负责公司企业级搜索推荐产品的实施部署和客户需求开发相关工作； \n', '2、负责在客户现场进行需求沟通、问题排查、产品定制化开发； \n', '3、保持和整个项目团队的工作进展同步，保证项目的快速高质量交付； \n', '4、梳理总结客户需求及产品问题，反馈产品版本迭代升级； \n', ' \n', '岗位要求 \n', '1、代码基础扎实，两年以上经验python后端开发经验； \n', '2、熟悉数据库的基本知识，熟练使用SQL语句进行数据的增删改查操作； \n', '3、做事踏实认真，吃苦耐劳，具有良好的沟通表达能力； \n', '4、能出差至全国各地的客户现场提供技术支持； \n', '5、具有linux、docker、k8s、redis、kafka等使用经验者优先；']"
华为,python开发工程师 ,18k-35k,北京,经验不限,['本科及以上 /'],"['IT技术服务｜咨询,智能硬件,网络通信', '不需要融资', '2000人以上']",https://www.lagou.com/wn/jobs/9954763.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['【工作职责】 \n', '1. 负责风险评估与威胁预警系统引擎的设计与开发； \n', '2. 负责风险评估与威胁预警系统引擎维护与性能调优； \n', '3. 负责风险评估与威胁预警系统插件的设计与开发； \n', '4. 负责风险评估与威胁预警系统插件的日常维护和优化工作； \n', ' \n', '【岗位要求】 \n', '1. 熟练掌握Python编程，具备Python工程化经验； \n', '2、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式； \n', '3. 有Django、Flask、Tornado框架的工程化经验优化； \n', '5. 有网络安全经验者优先；']"
开科唯识,python开发工程师 ,14k-18k,上海,经验1-3年,['本科及以上 /'],"['软件服务｜咨询', 'C轮', '500-2000人']",https://www.lagou.com/wn/jobs/10486276.html?show=47e2e36d309246e5a3a7549e53a1f0d7,"['岗位职责 \n', '1、根据使用需求完成相关领域的数据获取，处理和看板定制 \n', '2、对基于Flask和React的应用基础框架进行深层次定制开发 \n', '3、负责应用的日常构建、发布和运维 \n', '任职要求: \n', '1、大专及以上学历，学信网可查，有金融行业项目经验。 \n', '2、熟悉基础的前端框架React/Vue,了解EChart库使用 \n', '3、熟练掌握Python语言的开发和测试，Flask框架，Pandas库 \n', '4、熟练掌握MySQL数据库，ETL工具使用 \n', '5、了解DevOps工具链和流水线设计，掌握软件工程过程管理']"
